[INFO] [1644574632.729412374] [usb_cam]: camera_name value: default_cam
[WARN] [1644574632.729674726] [usb_cam]: framerate: 10.000000
[INFO] [1644574632.736720726] [usb_cam]: using default calibration URL
[INFO] [1644574632.736864688] [usb_cam]: camera calibration URL: file:///home/ubuntu/.ros/camera_info/default_cam.yaml
[WARN] [1644574632.757449392] [camera_calibration_parsers]: Exception parsing YAML camera calibration:
yaml-cpp: error at line 177, column 65: illegal map value
[ERROR] [1644574632.757550910] [camera_calibration_parsers]: Failed to parse camera calibration from file [/home/ubuntu/.ros/camera_info/default_cam.yaml]
[WARN] [1644574632.757615762] [usb_cam]: Camera calibration file /home/ubuntu/.ros/camera_info/default_cam.yaml not found
[INFO] [1644574632.757727040] [usb_cam]: Starting 'default_cam' (/dev/video0) at 640x480 via mmap (yuyv) at 10 FPS
[INFO] [1644574633.244858217] [usb_cam]: Capability flag: 0x1000
[INFO] [1644574633.269787772] [usb_cam]: Set framerate to be 10
[INFO] [1644574633.282658679] [usb_cam]: This Cameras Supported Formats:
[INFO] [1644574633.282847957] [usb_cam]:   YUYV 4:2:2[Index: 0, Type: 1, Flags: 0, PixelFormat: 56595559]
[INFO] [1644574633.289573438] [usb_cam]:   1 1 / 15
[INFO] [1644574633.289624882] [usb_cam]:   1 1 / 10
[INFO] [1644574633.289681160] [usb_cam]:   1 1 / 5
[INFO] [1644574633.289738512] [usb_cam]:   width: 320 x height: 176
[INFO] [1644574633.289793086] [usb_cam]:   1 1 / 30
[INFO] [1644574633.289909345] [usb_cam]:   1 1 / 25
[INFO] [1644574633.289965475] [usb_cam]:   1 1 / 20
[INFO] [1644574633.290017160] [usb_cam]:   1 1 / 15
[INFO] [1644574633.290065308] [usb_cam]:   1 1 / 10
[INFO] [1644574633.290113994] [usb_cam]:   1 1 / 5
[INFO] [1644574633.290170531] [usb_cam]:   width: 320 x height: 240
[INFO] [1644574633.290226290] [usb_cam]:   1 1 / 30
[INFO] [1644574633.290278994] [usb_cam]:   1 1 / 25
[INFO] [1644574633.290330771] [usb_cam]:   1 1 / 20
[INFO] [1644574633.290393475] [usb_cam]:   1 1 / 15
[INFO] [1644574633.290441568] [usb_cam]:   1 1 / 10
[INFO] [1644574633.290493031] [usb_cam]:   1 1 / 5
[INFO] [1644574633.290547290] [usb_cam]:   width: 352 x height: 288
[INFO] [1644574633.290603438] [usb_cam]:   1 1 / 30
[INFO] [1644574633.290656956] [usb_cam]:   1 1 / 25
[INFO] [1644574633.290705623] [usb_cam]:   1 1 / 20
[INFO] [1644574633.290755419] [usb_cam]:   1 1 / 15
[INFO] [1644574633.290803031] [usb_cam]:   1 1 / 10
[INFO] [1644574633.290852308] [usb_cam]:   1 1 / 5
[INFO] [1644574633.290906364] [usb_cam]:   width: 432 x height: 240
[INFO] [1644574633.290960308] [usb_cam]:   1 1 / 30
[INFO] [1644574633.291013660] [usb_cam]:   1 1 / 25
[INFO] [1644574633.291064031] [usb_cam]:   1 1 / 20
[INFO] [1644574633.291112938] [usb_cam]:   1 1 / 15
[INFO] [1644574633.291162605] [usb_cam]:   1 1 / 10
[INFO] [1644574633.291212734] [usb_cam]:   1 1 / 5
[INFO] [1644574633.291267345] [usb_cam]:   width: 544 x height: 288
[INFO] [1644574633.291322105] [usb_cam]:   1 1 / 30
[INFO] [1644574633.291373975] [usb_cam]:   1 1 / 25
[INFO] [1644574633.291425160] [usb_cam]:   1 1 / 20
[INFO] [1644574633.291496290] [usb_cam]:   1 1 / 15
[INFO] [1644574633.291549679] [usb_cam]:   1 1 / 10
[INFO] [1644574633.291599938] [usb_cam]:   1 1 / 5
[INFO] [1644574633.291654345] [usb_cam]:   width: 640 x height: 360
[INFO] [1644574633.291723975] [usb_cam]:   1 1 / 30
[INFO] [1644574633.291775105] [usb_cam]:   1 1 / 25
[INFO] [1644574633.291826697] [usb_cam]:   1 1 / 20
[INFO] [1644574633.291876253] [usb_cam]:   1 1 / 15
[INFO] [1644574633.291926790] [usb_cam]:   1 1 / 10
[INFO] [1644574633.291977827] [usb_cam]:   1 1 / 5
[INFO] [1644574633.292030827] [usb_cam]:   width: 752 x height: 416
[INFO] [1644574633.292085512] [usb_cam]:   1 1 / 30
[INFO] [1644574633.292137605] [usb_cam]:   1 1 / 25
[INFO] [1644574633.292187401] [usb_cam]:   1 1 / 20
[INFO] [1644574633.292236234] [usb_cam]:   1 1 / 15
[INFO] [1644574633.292285938] [usb_cam]:   1 1 / 10
[INFO] [1644574633.292333216] [usb_cam]:   1 1 / 5
[INFO] [1644574633.292389031] [usb_cam]:   width: 800 x height: 448
[INFO] [1644574633.292444197] [usb_cam]:   1 1 / 30
[INFO] [1644574633.292496901] [usb_cam]:   1 1 / 25
[INFO] [1644574633.292547271] [usb_cam]:   1 1 / 20
[INFO] [1644574633.292598549] [usb_cam]:   1 1 / 15
[INFO] [1644574633.292648401] [usb_cam]:   1 1 / 10
[INFO] [1644574633.292697790] [usb_cam]:   1 1 / 5
[INFO] [1644574633.292754197] [usb_cam]:   width: 800 x height: 600
[INFO] [1644574633.292807827] [usb_cam]:   1 1 / 30
[INFO] [1644574633.292859864] [usb_cam]:   1 1 / 25
[INFO] [1644574633.292910012] [usb_cam]:   1 1 / 20
[INFO] [1644574633.292958068] [usb_cam]:   1 1 / 15
[INFO] [1644574633.293007586] [usb_cam]:   1 1 / 10
[INFO] [1644574633.293055401] [usb_cam]:   1 1 / 5
[INFO] [1644574633.293126679] [usb_cam]:   width: 864 x height: 480
[INFO] [1644574633.293180345] [usb_cam]:   1 1 / 30
[INFO] [1644574633.293232049] [usb_cam]:   1 1 / 25
[INFO] [1644574633.293288049] [usb_cam]:   1 1 / 20
[INFO] [1644574633.293337493] [usb_cam]:   1 1 / 15
[INFO] [1644574633.293386901] [usb_cam]:   1 1 / 10
[INFO] [1644574633.293435827] [usb_cam]:   1 1 / 5
[INFO] [1644574633.293492438] [usb_cam]:   width: 960 x height: 544
[INFO] [1644574633.293547623] [usb_cam]:   1 1 / 30
[INFO] [1644574633.293600734] [usb_cam]:   1 1 / 25
[INFO] [1644574633.293651512] [usb_cam]:   1 1 / 20
[INFO] [1644574633.293701956] [usb_cam]:   1 1 / 15
[INFO] [1644574633.293751401] [usb_cam]:   1 1 / 10
[INFO] [1644574633.293800364] [usb_cam]:   1 1 / 5
[INFO] [1644574633.293855401] [usb_cam]:   wi
